Ping: <@397080824924602380> | Id: 397080824924602380 | Username: Corrupt#1000 | Badges: Early Supporter | Creation Date: 31-12-2017 18:37:26
Ping: <@232664599365681152> | Id: 232664599365681152 | Username: Bxxpe#6660 | Badges: Early Supporter | Creation Date: 04-10-2016 02:46:03
Ping: <@274178934143451137> | Id: 274178934143451137 | Username: oxo#0001 | Badges: Early Supporter | Creation Date: 26-01-2017 15:09:11
Ping: <@367012069855199233> | Id: 367012069855199233 | Username: !!!Phazex#1111 | Badges: Early Supporter | Creation Date: 09-10-2017 20:14:56
Ping: <@480591223095296001> | Id: 480591223095296001 | Username: SoleDeadhead#0002 | Badges: Early Supporter | Creation Date: 19-08-2018 06:17:56
Ping: <@332627594610606111> | Id: 332627594610606111 | Username: Kuu Imu#7777 | Badges: Early Supporter | Creation Date: 06-07-2017 23:03:18
Ping: <@214611463023624192> | Id: 214611463023624192 | Username: MollyStrollin#7425 | Badges: Early Supporter | Creation Date: 15-08-2016 07:09:20
Ping: <@228025121124777985> | Id: 228025121124777985 | Username: Considerably#9118 | Badges: Early Supporter | Creation Date: 21-09-2016 07:30:25
Ping: <@323643000188043274> | Id: 323643000188043274 | Username: SCP 69420#1412 | Badges: Early Supporter | Creation Date: 12-06-2017 04:01:44
Ping: <@221860551951646721> | Id: 221860551951646721 | Username: TRANCE#4770 | Badges: Early Supporter | Creation Date: 04-09-2016 07:14:37
Ping: <@151028306085543936> | Id: 151028306085543936 | Username: Vitals#5761 | Badges: Early Supporter | Creation Date: 21-02-2016 19:12:34
Ping: <@217066603504730113> | Id: 217066603504730113 | Username: Zebra Cakes#0829 | Badges: Early Supporter | Creation Date: 22-08-2016 01:45:11
Ping: <@413089443965173767> | Id: 413089443965173767 | Username: beany#3532 | Badges: Early Supporter | Creation Date: 13-02-2018 22:49:58
Ping: <@355143085933592576> | Id: 355143085933592576 | Username: Chocolate#0001 | Badges: Early Supporter | Creation Date: 07-09-2017 02:11:49
Ping: <@428747564612059136> | Id: 428747564612059136 | Username: Snow Access#2222 | Badges: Early Supporter | Creation Date: 29-03-2018 04:49:45
Ping: <@219410026631135232> | Id: 219410026631135232 | Username: Yuichiro#0001 | Badges: Early Supporter, Early Verified Bot Developer | Creation Date: 28-08-2016 12:57:06
Ping: <@301170256041213953> | Id: 301170256041213953 | Username: xelizia#1920 | Badges: Early Supporter | Creation Date: 11-04-2017 03:43:04
Ping: <@190884799492128768> | Id: 190884799492128768 | Username: Alec#1195 | Badges: Early Supporter | Creation Date: 10-06-2016 19:48:02
Ping: <@219543550281515009> | Id: 219543550281515009 | Username: vix#2827 | Badges: Early Supporter | Creation Date: 28-08-2016 21:47:41
Ping: <@166021537223278592> | Id: 166021537223278592 | Username: Noahh#9999 | Badges: Early Supporter | Creation Date: 03-04-2016 05:10:19
Ping: <@353654533563482132> | Id: 353654533563482132 | Username: brain#2000 | Badges: Early Supporter | Creation Date: 02-09-2017 23:36:51
Ping: <@394586419986956289> | Id: 394586419986956289 | Username: ~BitterSweet~#9457 | Badges: Early Supporter | Creation Date: 24-12-2017 21:25:33
Ping: <@250045584512253963> | Id: 250045584512253963 | Username: maxresdefault(2).jpg#8594 | Badges: Early Supporter | Creation Date: 21-11-2016 00:51:52
Ping: <@422577476754079754> | Id: 422577476754079754 | Username: miu#4321 | Badges: Early Supporter | Creation Date: 12-03-2018 03:12:01
Ping: <@391720494979874823> | Id: 391720494979874823 | Username: Reshy🌸ミ#0001 | Badges: Early Supporter | Creation Date: 16-12-2017 23:37:23
Ping: <@269654701778141187> | Id: 269654701778141187 | Username: Spoök#3143 | Badges: Early Supporter | Creation Date: 14-01-2017 03:31:30
Ping: <@276208042641457152> | Id: 276208042641457152 | Username: Xiao Jen#9292 | Badges: Early Supporter | Creation Date: 01-02-2017 05:32:09
Ping: <@357671188698497046> | Id: 357671188698497046 | Username: Kitty🐾#6969 | Badges: Early Supporter | Creation Date: 14-09-2017 01:37:36
