ID: <@168042085662982144> | Username: Miyo#9905 | Badges: Early Supporter | Creation Date: 08-04-2016 18:59:15
ID: <@783371124980580393> | Username: Lisa | genshin-impact.fr#6888 | Badges: Verified Bot | Creation Date: 01-12-2020 17:37:10
ID: <@168094669186531328> | Username: WingSilent#0001 | Badges: Early Supporter | Creation Date: 08-04-2016 22:28:12
ID: <@244833574774243328> | Username: Yinkle#0977 | Badges: Early Supporter | Creation Date: 06-11-2016 15:41:13
ID: <@219458714556432385> | Username: -KakashiSensei-#6669 | Badges: Early Supporter | Creation Date: 28-08-2016 16:10:34
ID: <@246928769674117121> | Username: !-Yuudachi-!#2540 | Badges: Early Supporter, Early Verified Bot Developer | Creation Date: 12-11-2016 10:26:46
ID: <@335734618118422528> | Username: !-𝔸𝕫𝕖𝕖𝕩-!#4808 | Badges: Early Verified Bot Developer, Discord Certified Moderator | Creation Date: 15-07-2017 12:49:30
ID: <@391720494979874823> | Username: Reshy🌸ミ#0001 | Badges: Early Supporter | Creation Date: 16-12-2017 23:37:23
ID: <@204310809751322633> | Username: 404#2721 | Badges: Early Supporter | Creation Date: 17-07-2016 20:58:12
ID: <@165196287648464897> | Username: Imacheese#4731 | Badges: Early Supporter | Creation Date: 31-03-2016 22:31:04
ID: <@84753570401878016> | Username: Aspro#0001 | Badges: Early Supporter | Creation Date: 22-08-2015 23:00:25
ID: <@209727273786540034> | Username: Arexis#8059 | Badges: Early Supporter | Creation Date: 01-08-2016 19:41:18
ID: <@289072067125444619> | Username: [AR55] Keabalto#7705 | Badges: Early Supporter | Creation Date: 08-03-2017 17:29:11
ID: <@321993152284065792> | Username: [Drip] Ori#1482 | Badges: Early Supporter | Creation Date: 07-06-2017 14:45:49
ID: <@240483967491506178> | Username: _　Ａｚａｍｉ　あざみ#0507 | Badges: Early Supporter | Creation Date: 25-10-2016 16:37:25
ID: <@191740547759603712> | Username: Acedia#7357 | Badges: Early Supporter | Creation Date: 13-06-2016 04:28:28
ID: <@160438213821857793> | Username: Aglox#0001 | Badges: Partnered Server Owner, Early Verified Bot Developer, Discord Certified Moderator | Creation Date: 18-03-2016 18:24:10
ID: <@335158124988334080> | Username: Aigul#6897 | Badges: Early Supporter | Creation Date: 13-07-2017 22:38:43
ID: <@194894418191450112> | Username: AkagiIJN#9412 | Badges: Early Supporter | Creation Date: 21-06-2016 21:20:50
ID: <@149201034252648448> | Username: Akyales#3405 | Badges: Early Supporter | Creation Date: 16-02-2016 18:11:38
ID: <@165124522750640128> | Username: Altasias#2868 | Badges: HypeSquad Events | Creation Date: 31-03-2016 17:45:54
ID: <@232196397473071104> | Username: Amaia#4701 | Badges: Early Supporter | Creation Date: 02-10-2016 19:45:35
ID: <@232227466662510592> | Username: Amused#3494 | Badges: Early Supporter | Creation Date: 02-10-2016 21:49:02
ID: <@225590977232896001> | Username: Antonin_117#0117 | Badges: Early Supporter | Creation Date: 14-09-2016 14:18:00
ID: <@91910066407481344> | Username: Aokami_Wolf#3638 | Badges: Early Supporter | Creation Date: 11-09-2015 16:57:47
ID: <@176013994832691200> | Username: Aquariax#1764 | Badges: Early Supporter | Creation Date: 30-04-2016 18:56:46
ID: <@368492548391698434> | Username: Arekushisu#2311 | Badges: Early Supporter, Early Verified Bot Developer | Creation Date: 13-10-2017 22:17:49
ID: <@138014218795352065> | Username: Arialys#0249 | Badges: Early Supporter | Creation Date: 16-01-2016 21:19:13
ID: <@249276206560706562> | Username: Asmera#2802 | Badges: Early Supporter | Creation Date: 18-11-2016 21:54:38
ID: <@138687950144798720> | Username: Asnothar#9999 | Badges: Early Supporter | Creation Date: 18-01-2016 17:56:24
ID: <@147053358379827200> | Username: qstrql#9939 | Badges: Early Supporter | Creation Date: 10-02-2016 19:57:32
ID: <@248897357079511041> | Username: Atsumiko#0001 | Badges: Early Supporter | Creation Date: 17-11-2016 20:49:14
ID: <@739823232651100180> | Username: Auto Publisher#8418 | Badges: Verified Bot | Creation Date: 03-08-2020 14:33:23
ID: <@209756401830985728> | Username: Aya#7777 | Badges: Early Supporter | Creation Date: 01-08-2016 21:37:03
ID: <@280092411357560832> | Username: Azluck#6117 | Badges: Early Supporter | Creation Date: 11-02-2017 22:47:14
ID: <@285358176096747522> | Username: boons#6969 | Badges: Early Supporter | Creation Date: 26-02-2017 11:31:30
ID: <@382141612744114177> | Username: bored#1337 | Badges: Early Supporter | Creation Date: 20-11-2017 13:14:20
ID: <@274891871984287744> | Username: Brytton | ブライトン#5678 | Badges: Early Supporter | Creation Date: 28-01-2017 14:22:09
ID: <@393859110359007259> | Username: Camélia#6879 | Badges: Early Supporter | Creation Date: 22-12-2017 21:15:29
ID: <@183302993347608586> | Username: Choucousse#0605 | Badges: Early Supporter | Creation Date: 20-05-2016 21:40:39
ID: <@176383985595711489> | Username: Creamy#4444 | Badges: Early Supporter | Creation Date: 01-05-2016 19:26:59
ID: <@242983790518075392> | Username: Crispy#0110 | Badges: Early Supporter | Creation Date: 01-11-2016 13:10:50
ID: <@149622883226746890> | Username: CyAngelizer#0640 | Badges: Early Supporter | Creation Date: 17-02-2016 22:07:55
ID: <@308566547033489419> | Username: D3METRIOS#2740 | Badges: Early Supporter | Creation Date: 01-05-2017 13:33:17
ID: <@234336025214713866> | Username: Daryl#1999 | Badges: Early Supporter | Creation Date: 08-10-2016 17:27:42
ID: <@180194043622457344> | Username: Dayem#0005 | Badges: Early Supporter | Creation Date: 12-05-2016 07:46:47
ID: <@64454230802444288> | Username: Draewyn · バレリアン#2407 | Badges: Early Supporter | Creation Date: 27-06-2015 22:38:06
ID: <@194090302556995584> | Username: Dreiko#4833 | Badges: Early Supporter | Creation Date: 19-06-2016 16:05:34
ID: <@181200131595567104> | Username: Eldrinael#0787 | Badges: Early Supporter | Creation Date: 15-05-2016 02:24:37
ID: <@221203720552185857> | Username: Elendan#1111 | Badges: Early Supporter | Creation Date: 02-09-2016 11:44:36
ID: <@118399801556467712> | Username: Elura#2199 | Badges: Early Supporter | Creation Date: 23-11-2015 18:18:32
ID: <@212271199655428097> | Username: Elysseens#0001 | Badges: Partnered Server Owner, HypeSquad Events, Early Supporter | Creation Date: 08-08-2016 20:09:57
ID: <@194173080392695808> | Username: Elzeus#5136 | Badges: Early Supporter | Creation Date: 19-06-2016 21:34:29
ID: <@334095574674571264> | Username: eno#6874 | Badges: Early Supporter, Early Verified Bot Developer | Creation Date: 11-07-2017 00:16:32
ID: <@178152589404274689> | Username: Eriina#2912 | Badges: Early Supporter | Creation Date: 06-05-2016 16:34:47
ID: <@270982675173474315> | Username: Erwin0859#2464 | Badges: Early Supporter | Creation Date: 17-01-2017 19:28:24
ID: <@250614640994680832> | Username: Nephylia#6696 | Badges: Early Supporter | Creation Date: 22-11-2016 14:33:06
